                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3941,                 1.9631,                 1.1719,                0.66274,                  0.105,                0.11209,                0.08309,                0.93047,                 1.5038,                0.97508,             8.3661e-05,             8.3661e-05,             8.3661e-05
                     36,                 1.4022,                 1.8774,                 1.1505,                0.66369,                0.10347,                0.11288,                 0.0843,                0.92459,                 1.4903,                0.97632,             7.8592e-05,             7.8592e-05,             7.8592e-05
                     37,                 1.3829,                 1.9079,                 1.1425,                0.66243,                0.10774,                0.11337,                 0.0847,                0.92566,                 1.4837,                0.97649,             7.3523e-05,             7.3523e-05,             7.3523e-05
                     38,                 1.3557,                 1.8807,                 1.1099,                0.59883,                0.10999,                0.11334,                0.08439,                0.93532,                 1.4973,                0.97483,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     39,                 1.3585,                 1.7743,                  1.131,                0.66066,                0.11095,                0.11322,                0.08362,                0.95362,                 1.4892,                0.97205,             6.3386e-05,             6.3386e-05,             6.3386e-05
                     40,                 1.4064,                 1.7295,                 1.1479,                0.65843,                0.11249,                0.11304,                0.08361,                0.95118,                 1.4991,                0.96686,             5.8317e-05,             5.8317e-05,             5.8317e-05
                     41,                 1.3447,                 1.6061,                 1.1506,                0.59795,                0.10932,                0.11352,                0.08375,                0.92446,                 1.4081,                0.96844,             5.3248e-05,             5.3248e-05,             5.3248e-05
                     42,                 1.3713,                  1.571,                 1.1614,                0.59715,                0.11037,                0.11362,                0.08322,                0.91687,                 1.3738,                0.97438,             4.8179e-05,             4.8179e-05,             4.8179e-05
                     43,                 1.3419,                  1.588,                 1.1474,                0.59668,                0.11016,                0.11479,                0.08408,                0.91253,                 1.3554,                0.97968,              4.311e-05,              4.311e-05,              4.311e-05
                     44,                 1.3452,                 1.5591,                 1.1543,                0.53192,                0.11073,                0.11341,                0.08478,                 0.9053,                 1.3476,                0.98466,             3.8042e-05,             3.8042e-05,             3.8042e-05
                     45,                 1.3496,                 1.5753,                 1.1876,                0.53196,                0.10941,                0.11343,                0.08456,                0.91956,                 1.3543,                0.99014,             3.2973e-05,             3.2973e-05,             3.2973e-05
                     46,                  1.282,                 1.5882,                 1.1483,                0.53095,                0.11008,                0.11372,                0.08488,                0.92661,                 1.3591,                 0.9921,             2.7904e-05,             2.7904e-05,             2.7904e-05
                     47,                  1.312,                 1.5801,                  1.159,                 0.5924,                0.11219,                0.11499,                0.08579,                0.92822,                 1.3583,                0.99221,             2.2835e-05,             2.2835e-05,             2.2835e-05
                     48,                 1.3121,                 1.5722,                 1.1487,                0.59234,                0.11482,                0.11561,                0.08658,                 0.9179,                 1.3491,                0.98824,             1.7766e-05,             1.7766e-05,             1.7766e-05
                     49,                 1.3297,                 1.5969,                 1.1809,                0.59177,                0.11509,                0.11557,                 0.0863,                0.91799,                  1.348,                0.98711,             1.2698e-05,             1.2698e-05,             1.2698e-05
                     50,                 1.3252,                 1.5499,                  1.167,                0.59255,                 0.1136,                0.11581,                0.08665,                0.91407,                  1.345,                0.98379,             7.6288e-06,             7.6288e-06,             7.6288e-06
